"","Water2","TAXON","p_lit","adjp_lit","tp_2"
"121","Reference","SMB",0.422627235213206,0.422627235213206,3.64856784529493
"122","Reference","SMB",0.250550206327373,0.250550206327373,3.72375920381908
"123","Reference","SMB",0.406740027510317,0.406740027510317,3.68310907031313
"124","Reference","SMB",0.433883539660706,0.433883539660706,3.67973959597594
"125","Reference","SMB",0.385878037597432,0.385878037597432,3.55674906276128
"126","Reference","SMB",0.376547455295736,0.376547455295736,3.62344040779998
"127","Reference","SMB",0.422673085740487,0.422673085740487,3.61623405345632
"128","Reference","SMB",0.519463548830812,0.519463548830812,4.05959948215875
"129","Reference","YPERCH",-0.047294818890417,0,3.19936510505165
"130","Reference","YPERCH",0.0352132049518572,0.0352132049518572,3.58970669147989
"131","Reference","YPERCH",-0.0174690508940853,0,3.02358645521482
"132","Reference","YPERCH",0.0854883081155437,0.0854883081155437,3.25482158750708
"133","Reference","YPERCH",-0.11382393397524,0,2.80099118051622
"134","Reference","YPERCH",0.0511691884456668,0.0511691884456668,3.69342948458613
"135","Reference","YPERCH",-0.0176983035304909,0,3.61172600264315
"136","Reference","YPERCH",-0.00609812012838193,0,3.62833549100521
"137","Reference","YPERCH",0.0513525905547914,0.0513525905547914,3.90527078781994
"138","Reference","YPERCH",0.152796882164145,0.152796882164145,2.87705046255091
"139","Reference","YPERCH",0.785167354424576,0.785167354424576,4.25292283625968
"140","Reference","YPERCH",0.661049977074737,0.661049977074737,4.22755616689592
"141","Reference","SMB",0.424742957452144,0.424742957452144,4.31190534048611
"142","Reference","SMB",0.325119117278275,0.325119117278275,3.80599939027688
"143","Reference","SMB",0.331020646994901,0.331020646994901,3.86658734529505
"144","Reference","SMB",0.22154141937641,0.22154141937641,3.74399964350866
"145","Reference","SMB",0.493287636880381,0.493287636880381,4.19597140693609
"146","Reference","SMB",0.326072055504472,0.326072055504472,4.05381804190371
"147","Reference","SMB",0.176402240240742,0.176402240240742,3.63447837449784
"148","Reference","SMB",0.277522360611886,0.277522360611886,3.8386362116526
"149","Reference","SMB",0.392025411686032,0.392025411686032,3.7652296738473
"150","Reference","SMB",0.471294825712614,0.471294825712614,3.16667066838438
"151","Reference","SMB",0.432190922009529,0.432190922009529,3.84431458516701
"152","Reference","YPERCH",0.578408425980105,0.578408425980105,3.85207801259767
"153","Reference","YPERCH",0.18387528211987,0.18387528211987,3.04337820289028
"154","Reference","YPERCH",0.133779152386525,0.133779152386525,2.66813978885878
"155","Reference","YPERCH",0.299297834991223,0.299297834991223,3.36776365607682
"156","Reference","YPERCH",0.420521608292234,0.420521608292234,3.45853943531772
"157","Reference","YPERCH",0.577672824542339,0.577672824542339,3.85737383156891
"158","Reference","YPERCH",0.591866588648332,0.591866588648332,3.91869127112518
"159","Reference","SMB",0.749247383066119,0.749247383066119,4.25318944029182
"160","Reference","SMB",0.365790380283556,0.365790380283556,4.28196815251873
"161","Reference","SMB",0.514307671922618,0.514307671922618,4.37077746514002
"162","Reference","SMB",0.488036305816881,0.488036305816881,4.28015811502818
"163","Reference","SMB",0.533316549622366,0.533316549622366,4.30454433783584
"164","Reference","SMB",0.496336292566583,0.496336292566583,4.28168699678096
"165","Reference","SMB",0.657327414866835,0.657327414866835,4.24192012408515
"166","Reference","SMB",0.805212667285014,0.805212667285014,4.22156551492997
"167","Reference","SMB",0.788576917980655,0.788576917980655,4.1596649545203
"168","Reference","SMB",0.768208559692593,0.768208559692593,4.06634238770372
"169","Reference","YPERCH",0.29353517954154,0.29353517954154,3.30481894636747
"170","Reference","YPERCH",0.319818470915596,0.319818470915596,3.31309177780029
"171","Reference","YPERCH",0.263805485623427,0.263805485623427,3.29469001317235
"172","Reference","YPERCH",0.628694845634027,0.628694845634027,3.61473500183166
"173","Reference","YPERCH",0.825425997084935,0.825425997084935,3.86186341280914
"174","Reference","YPERCH",0.649909897972705,0.649909897972705,3.87910180126112
"175","Reference","YPERCH",1.10930700940771,1,4.02063331748494
"176","Reference","YPERCH",0.947123360275606,0.947123360275606,3.67740499925954
