"","Water","Water2","TAXON","p_lit","adjp_lit","plit_bound","tp_2","Lake"
"96","Nelson Lk.","Forested Lake","SMB",1.67132394366197,1,NA,3.24117647058824,"Forested Lake"
"97","Nelson Lk.","Forested Lake","SMB",1.76567605633803,1,NA,3.34117647058824,"Forested Lake"
"98","Nelson Lk.","Forested Lake","SMB",0.94474647887324,0.94474647887324,0.94474647887324,3.80873835956918,"Forested Lake"
"99","Nelson Lk.","Forested Lake","SMB",1.0052676056338,1,1.0052676056338,3.59411764705882,"Forested Lake"
"100","Nelson Lk.","Forested Lake","SMB",1.01088732394366,1,1.01088732394366,3.56764705882353,"Forested Lake"
"101","Nelson Lk.","Forested Lake","SMB",0.934774647887324,0.934774647887324,0.934774647887324,3.5625256006628,"Forested Lake"
"102","Nelson Lk.","Forested Lake","YPERCH",0.748549295774648,0.748549295774648,0.748549295774648,2.92236884838442,"Forested Lake"
"103","Nelson Lk.","Forested Lake","YPERCH",0.901070422535211,0.901070422535211,0.901070422535211,3.20909163214582,"Forested Lake"
"104","Nelson Lk.","Forested Lake","YPERCH",0.89130985915493,0.89130985915493,0.89130985915493,3.4748125932063,"Forested Lake"
"105","Nelson Lk.","Forested Lake","YPERCH",0.999746478873239,0.999746478873239,0.999746478873239,3.71450306545153,"Forested Lake"
"106","Nelson Lk.","Forested Lake","YPERCH",0.761535211267605,0.761535211267605,0.761535211267605,2.8798164043082,"Forested Lake"
"107","Nelson Lk.","Forested Lake","YPERCH",1.06019718309859,1,1.06019718309859,3.41764705882353,"Forested Lake"
"108","Nelson Lk.","Forested Lake","YPERCH",0.736352112676056,0.736352112676056,0.736352112676056,3.21261110190555,"Forested Lake"
"109","Stormy","Reference","SMB",0.383998165978909,0.383998165978909,0.383998165978909,3.85302276343825,"Reference 5"
"110","Stormy","Reference","SMB",0.583677212287941,0.583677212287941,0.583677212287941,4.11582989454379,"Reference 5"
"111","Stormy","Reference","SMB",0.826776707932141,0.826776707932141,0.826776707932141,4.20853615448931,"Reference 5"
"112","Stormy","Reference","SMB",0.498784961027052,0.498784961027052,0.498784961027052,4.03625724842895,"Reference 5"
"113","Stormy","Reference","SMB",0.418592388812472,0.418592388812472,0.418592388812472,4.00864740944521,"Reference 5"
"114","Stormy","Reference","SMB",0.505754241173774,0.505754241173774,0.505754241173774,4.09210912425493,"Reference 5"
"115","Stormy","Reference","SMB",0.507840440165062,0.507840440165062,0.507840440165062,3.66650983089247,"Reference 5"
