SIA SAM,FISH,WBY,REGION,YEAR,DAY,TAXON,COMP,FLEN,TLEN,RWT,Tissue,Check,Del 15N,Del 13C,C/N,Comments
25495,.,Manitou-2,.,2022,20-Jul,HEPTAGEN,12,.,.,.,BODY,V,0.11,-24.36,5.10,.
25030,35,Mendelssohn,.,2022,24-Aug,BUR,1,230,230,72.00,MUSCLE,V,6.88,-26.96,3.28,.
25031,34,Mendelssohn,.,2022,24-Aug,LT,1,595,651,2190.00,MUSCLE,V,10.95,-28.32,3.66,.
25032,64,Mendelssohn,.,2022,24-Aug,LT,1,315,350,280.00,MUSCLE,V,10.36,-28.57,3.14,.
25033,65,Mendelssohn,.,2022,24-Aug,LT,1,268,300,170.00,MUSCLE,V,10.44,-28.46,3.13,.
25034,79,Mendelssohn,.,2022,24-Aug,LT,1,555,610,1690.00,MUSCLE,V,10.56,-28.57,3.79,.
25035,81,Mendelssohn,.,2022,24-Aug,LT,1,495,546,1200.00,MUSCLE,V,10.52,-28.25,3.46,.
25036,83,Mendelssohn,.,2022,24-Aug,LT,1,401,441,600.00,MUSCLE,V,10.44,-27.98,3.32,.
25037,87,Mendelssohn,.,2022,24-Aug,LT,1,363,403,430.00,MUSCLE,V,10.12,-27.69,3.20,.
25038,119,Mendelssohn,.,2022,24-Aug,LT,1,450,500,865.00,MUSCLE,V,10.36,-27.25,3.17,.
25039,128,Mendelssohn,.,2022,24-Aug,LT,1,652,709,3750.00,MUSCLE,V,11.13,-26.21,3.43,.
25040,129,Mendelssohn,.,2022,24-Aug,LT,1,191,212,52.00,MUSCLE,V,10.43,-28.55,3.30,.
25041,51,Mendelssohn,.,2022,24-Aug,LWF,1,449,497,1180.00,MUSCLE,V,7.84,-26.97,3.41,.
25042,60,Mendelssohn,.,2022,24-Aug,LWF,1,193,215,68.00,MUSCLE,V,9.65,-28.78,3.17,.
25043,61,Mendelssohn,.,2022,24-Aug,LWF,1,497,550,1700.00,MUSCLE,V,8.35,-29.05,3.65,.
25044,67,Mendelssohn,.,2022,24-Aug,LWF,1,470,521,1220.00,MUSCLE,V,8.39,-28.64,3.21,.
25045,68,Mendelssohn,.,2022,24-Aug,LWF,1,389,435,720.00,MUSCLE,V,8.58,-28.64,3.24,.
25046,85,Mendelssohn,.,2022,24-Aug,LWF,1,460,505,1200.00,MUSCLE,V,8.09,-28.75,3.27,.
25047,125,Mendelssohn,.,2022,24-Aug,LWF,1,470,525,1200.00,MUSCLE,V,8.18,-26.41,3.27,.
25048,3,Mendelssohn,.,2022,24-Aug,SMB,1,345,364,655.00,MUSCLE,V,8.72,-25.68,3.24,.
25049,5,Mendelssohn,.,2022,24-Aug,SMB,1,416,436,1260.00,MUSCLE,V,9.67,-22.13,3.42,.
25050,30,Mendelssohn,.,2022,24-Aug,SMB,1,373,392,740.00,MUSCLE,V,8.33,-25.49,3.29,.
25051,45,Mendelssohn,.,2022,24-Aug,SMB,1,307,324,400.00,MUSCLE,V,8.77,-26.23,3.27,.
25052,46,Mendelssohn,.,2022,24-Aug,SMB,1,310,325,435.00,MUSCLE,V,8.96,-25.49,3.34,.
25053,55,Mendelssohn,.,2022,24-Aug,SMB,1,424,442,1080.00,MUSCLE,V,8.08,-25.53,3.24,.
25054,57,Mendelssohn,.,2022,24-Aug,SMB,1,394,415,860.00,MUSCLE,V,9.41,-26.74,3.23,.
25055,75,Mendelssohn,.,2022,24-Aug,SMB,1,433,457,1180.00,MUSCLE,V,8.65,-26.04,3.20,.
25056,76,Mendelssohn,.,2022,24-Aug,SMB,1,400,420,930.00,MUSCLE,V,8.54,-26.13,3.18,.
25057,78,Mendelssohn,.,2022,24-Aug,SMB,1,398,419,1000.00,MUSCLE,V,8.80,-26.29,3.29,.
25058,19,Mendelssohn,.,2022,24-Aug,WALL,1,579,610,1720.00,MUSCLE,V,9.56,-26.19,3.16,.
25059,21,Mendelssohn,.,2022,24-Aug,WALL,1,482,505,1100.00,MUSCLE,V,9.70,-26.46,3.22,.
25060,22,Mendelssohn,.,2022,24-Aug,WALL,1,380,401,515.00,MUSCLE,V,9.53,-26.40,3.18,.
25061,23,Mendelssohn,.,2022,24-Aug,WALL,1,395,421,655.00,MUSCLE,V,9.17,-26.66,3.22,.
25062,28,Mendelssohn,.,2022,24-Aug,WALL,1,280,295,198.00,MUSCLE,V,8.69,-25.66,3.16,.
25063,29,Mendelssohn,.,2022,24-Aug,WALL,1,180,192,46.00,MUSCLE,V,8.06,-25.67,3.18,.
25064,41,Mendelssohn,.,2022,24-Aug,WALL,1,430,461,790.00,MUSCLE,V,9.14,-26.56,3.26,.
25065,44,Mendelssohn,.,2022,24-Aug,WALL,1,215,229,90.00,MUSCLE,V,8.35,-26.83,3.19,.
25066,53,Mendelssohn,.,2022,24-Aug,WALL,1,494,523,980.00,MUSCLE,V,9.37,-26.36,3.19,.
25067,54,Mendelssohn,.,2022,24-Aug,WALL,1,484,517,1050.00,MUSCLE,V,7.26,-28.52,3.29,.
25068,59,Mendelssohn,.,2022,24-Aug,WALL,1,541,571,1125.00,MUSCLE,V,9.52,-26.10,3.19,.
25069,8,Mendelssohn,.,2022,24-Aug,WS,1,335,355,540.00,MUSCLE,V,5.65,-22.40,3.26,.
25070,18,Mendelssohn,.,2022,24-Aug,WS,1,446,470,1500.00,MUSCLE,V,6.65,-27.83,3.24,.
25071,25,Mendelssohn,.,2022,24-Aug,WS,1,407,430,1040.00,MUSCLE,V,7.95,-25.93,3.41,.
25072,66,Mendelssohn,.,2022,24-Aug,WS,1,490,527,1590.00,MUSCLE,V,7.63,-28.01,3.50,.
25187,.,Mendelssohn,.,2022,24-Aug,CLAM,1,.,63,19.80,MUSCLE,V,1.90,-28.90,4.46,Elliptio complanata
25188,.,Mendelssohn,.,2022,24-Aug,CLAM,1,.,64,22.90,MUSCLE,V,2.22,-27.80,3.76,Elliptio complanata
25189,.,Mendelssohn,.,2022,24-Aug,CLAM,1,.,63,19.10,MUSCLE,V,1.84,-28.73,3.96,Elliptio complanata
25190,.,Mendelssohn,.,2022,24-Aug,CLAM,1,.,73,35.30,MUSCLE,V,1.98,-28.49,4.12,Elliptio complanata
25191,.,Mendelssohn,.,2022,24-Aug,CLAM,1,.,79,41.40,MUSCLE,V,1.62,-28.83,4.01,Elliptio complanata
25192,.,Mendelssohn,.,2022,24-Aug,CLAM,1,.,80,46.10,MUSCLE,V,2.48,-29.12,4.09,Elliptio complanata
25193,.,Mendelssohn,.,2022,24-Aug,CLAM,1,.,78,37.60,MUSCLE,V,1.79,-28.93,3.99,Elliptio complanata
25194,.,Mendelssohn,.,2022,24-Aug,CLAM,1,.,77,27.00,MUSCLE,V,2.39,-30.23,4.19,Anodontoides ferussacianus
25195,.,Mendelssohn,.,2022,24-Aug,CLAM,1,.,91,37.40,MUSCLE,V,2.89,-30.34,3.93,Pyganodon grandis
25196,.,Mendelssohn,.,2022,24-Aug,CLAM,1,.,97,65.00,MUSCLE,V,2.25,-28.38,3.71,Elliptio complanata
25240,.,Mendelssohn,.,2022,24-Aug,YPERCH,3,.,49,0.94,MUSCLE,V,7.02,-27.29,3.41,.
25241,.,Mendelssohn,.,2022,24-Aug,YPERCH,5,.,57,1.44,MUSCLE,V,7.17,-27.45,3.37,.
25242,.,Mendelssohn,.,2022,24-Aug,YPERCH,1,.,61,1.77,MUSCLE,V,6.60,-25.66,3.24,.
25243,.,Mendelssohn,.,2022,24-Aug,YPERCH,1,.,69,2.65,MUSCLE,V,6.49,-25.08,3.24,.
25244,.,Mendelssohn,.,2022,24-Aug,YPERCH,1,.,74,3.51,MUSCLE,V,7.49,-27.80,3.29,.
25245,.,Mendelssohn,.,2022,24-Aug,YPERCH,1,.,71,3.12,MUSCLE,V,6.66,-24.82,3.25,.
25246,.,Mendelssohn,.,2022,24-Aug,YPERCH,1,.,77,3.95,MUSCLE,V,6.37,-26.43,3.24,.
25247,.,Mendelssohn,.,2022,24-Aug,RBASS,1,.,48,1.70,MUSCLE,V,7.28,-26.02,3.34,.
25248,.,Mendelssohn,.,2022,24-Aug,RBASS,1,.,59,3.63,MUSCLE,V,7.65,-27.69,3.25,.
25249,.,Mendelssohn,.,2022,24-Aug,RBASS,1,.,84,10.52,MUSCLE,V,7.51,-27.54,3.23,.
